Anunciante,Bloco de anúncios,Data,Tamanho do criativo,Total de impressões,Total de cliques,Receita Bruta (R$),Receita Líquida,eCPM
AppNexus,Rádio Jornal,01/02/2024,1 x 1,330,0,"R$0,36 ","0,216","1,0909"
AppNexus,Rádio Jornal,01/02/2024,1 x 1,45,0,"R$0,16 ","0,096","3,5556"
AppNexus,Rádio Jornal,01/02/2024,1 x 1,51,0,"R$0,10 ","0,06","1,9608"
AppNexus,Rádio Jornal,01/02/2024,480 x 360v,4,0,"R$0,02 ","0,012","5,0"
AppNexus,Rádio Jornal,01/02/2024,1 x 1,8,0,"R$0,01 ","0,006","1,25"
AppNexus,TV Jornal,01/02/2024,1 x 1,172,0,"R$0,60 ","0,36","3,4884"
AppNexus,TV Jornal,01/02/2024,1 x 1,1769,0,"R$2,11 ","1,266","1,1928"
AppNexus,TV Jornal,01/02/2024,1 x 1,38,0,"R$0,34 ","0,204","8,9474"
AppNexus,TV Jornal,01/02/2024,480 x 360v,534,1,"R$0,97 ","0,582","1,8165"
BANCO BTG PACTUAL S.A / 0002-26,Portal NE10,01/02/2024,300 x 250,68,0,"R$0,63 ","0,378","9,2647"
BANCO BTG PACTUAL S.A / 0002-26,Portal NE10,01/02/2024,300 x 250,2,0,"R$0,02 ","0,012","10,0"
BANCO BTG PACTUAL S.A / 0002-26,Interior,01/02/2024,300 x 250,675,3,"R$6,24 ","3,744","9,2444"
BANCO BTG PACTUAL S.A / 0002-26,JC Online,01/02/2024,300 x 250,6650,16,"R$61,49 ","36,894","9,2466"
BANCO BTG PACTUAL S.A / 0002-26,Jamildo,01/02/2024,300 x 250,22077,37,"R$204,12 ","122,472","9,2458"
BANCO BTG PACTUAL S.A / 0002-26,Jamildo,01/02/2024,300 x 250,938,2,"R$8,67 ","5,202","9,2431"
BANCO BTG PACTUAL S.A / 0002-26,Portal NE10,01/02/2024,300 x 250,2,0,"R$0,02 ","0,012","10,0"
BANCO BTG PACTUAL S.A / 0002-26,Social 1,01/02/2024,300 x 250,11106,28,"R$102,69 ","61,614","9,2464"
BANCO BTG PACTUAL S.A / 0002-26,Blog do Torcedor,01/02/2024,300 x 250,1951,0,"R$18,04 ","10,824","9,2465"
BANCO BTG PACTUAL S.A / 0002-26,JC HTML,01/02/2024,300 x 250,8,0,"R$0,07 ","0,042","8,75"
BANCO BTG PACTUAL S.A / 0002-26,Portal NE10,01/02/2024,300 x 250,155,0,"R$1,43 ","0,858","9,2258"
BANCO BTG PACTUAL S.A / 0002-26,Rádio Jornal,01/02/2024,300 x 250,1156,2,"R$10,69 ","6,414","9,2474"
BANCO BTG PACTUAL S.A / 0002-26,TV Jornal,01/02/2024,300 x 250,115,0,"R$1,06 ","0,636","9,2174"
BANCO SAFRA S A / 0001-28,Portal NE10,01/02/2024,300 x 250,61,0,"R$0,31 ","0,186","5,082"
BANCO SAFRA S A / 0001-28,Portal NE10,01/02/2024,300 x 250,163,0,"R$0,82 ","0,492","5,0307"
BANCO SAFRA S A / 0001-28,Portal NE10,01/02/2024,300 x 600,39,0,"R$0,20 ","0,12","5,1282"
BANCO SAFRA S A / 0001-28,Interior,01/02/2024,300 x 250,202,0,"R$1,01 ","0,606","5,0"
BANCO SAFRA S A / 0001-28,Interior,01/02/2024,300 x 600,109,0,"R$0,55 ","0,33","5,0459"
BANCO SAFRA S A / 0001-28,Portal NE10,01/02/2024,300 x 250,1,0,"R$0,01 ","0,006","10,0"
BANCO SAFRA S A / 0001-28,JC Online,01/02/2024,300 x 250,6606,3,"R$33,14 ","19,884","5,0167"
BANCO SAFRA S A / 0001-28,JC Online,01/02/2024,300 x 600,1096,0,"R$5,50 ","3,3","5,0182"
BANCO SAFRA S A / 0001-28,Jamildo,01/02/2024,300 x 250,7787,10,"R$39,06 ","23,436","5,0161"
BANCO SAFRA S A / 0001-28,Jamildo,01/02/2024,300 x 250,2217,4,"R$11,12 ","6,672","5,0158"
BANCO SAFRA S A / 0001-28,Jamildo,01/02/2024,300 x 600,50,0,"R$0,25 ","0,15","5,0"
BANCO SAFRA S A / 0001-28,Portal NE10,01/02/2024,300 x 250,14,1,"R$0,07 ","0,042","5,0"
BANCO SAFRA S A / 0001-28,Social 1,01/02/2024,300 x 250,7663,7,"R$38,44 ","23,064","5,0163"
BANCO SAFRA S A / 0001-28,Social 1,01/02/2024,300 x 600,24,0,"R$0,12 ","0,072","5,0"
BANCO SAFRA S A / 0001-28,Blog do Torcedor,01/02/2024,300 x 250,1176,1,"R$5,90 ","3,54","5,017"
