Anunciante,Bloco de anúncios,Data,Tamanho do criativo,Total de impressões,Total de cliques,Receita Bruta (R$),Receita Líquida,eCPM médio total (R$),Porcentagem do total de impressões visíveis do Active View
"( Venda Direta SJCC) Ministério do Desenvolvimento e Assistência Social, Família e Combate e Fome",JC Online,08/07/2024,970 x 250,2,0,"0,04 ","0,024","R$19,75 ","100,00%"
"( Venda Direta SJCC) Ministério do Desenvolvimento e Assistência Social, Família e Combate e Fome",JC Online,08/07/2024,970 x 250,15306,0,"302,29 ","181,374","R$19,75 ","96,29%"
"( Venda Direta SJCC) Ministério do Desenvolvimento e Assistência Social, Família e Combate e Fome",JC Online,09/07/2024,970 x 250,31882,0,"629,67 ","377,802","R$19,75 ","96,39%"
"( Venda Direta SJCC) Ministério do Desenvolvimento e Assistência Social, Família e Combate e Fome",Social 1,02/07/2024,970 x 250,174,0,"3,44 ","2,064","R$19,75 ","65,52%"
"( Venda Direta SJCC) Ministério do Desenvolvimento e Assistência Social, Família e Combate e Fome",Social 1,03/07/2024,970 x 250,55,0,"1,09 ","0,654","R$19,75 ","61,82%"
"( Venda Direta SJCC) Ministério do Desenvolvimento e Assistência Social, Família e Combate e Fome",Social 1,04/07/2024,970 x 250,770,0,"15,21 ","9,126","R$19,75 ","62,21%"
"( Venda Direta SJCC) Ministério do Desenvolvimento e Assistência Social, Família e Combate e Fome",Social 1,05/07/2024,970 x 250,1470,0,"29,03 ","17,418","R$19,75 ","64,08%"
"( Venda Direta SJCC) Ministério do Desenvolvimento e Assistência Social, Família e Combate e Fome",Social 1,06/07/2024,970 x 250,613,0,"12,11 ","7,266","R$19,75 ","63,78%"
"( Venda Direta SJCC) Ministério do Desenvolvimento e Assistência Social, Família e Combate e Fome",Social 1,07/07/2024,970 x 250,610,0,"12,05 ","7,23","R$19,75 ","69,84%"
"( Venda Direta SJCC) Ministério do Desenvolvimento e Assistência Social, Família e Combate e Fome",Social 1,08/07/2024,970 x 250,180,0,"3,56 ","2,136","R$19,75 ","65,56%"
"( Venda Direta SJCC) Ministério do Desenvolvimento e Assistência Social, Família e Combate e Fome",Blog do Torcedor,02/07/2024,970 x 250,4037,0,"79,73 ","47,838","R$19,75 ","64,11%"
"( Venda Direta SJCC) Ministério do Desenvolvimento e Assistência Social, Família e Combate e Fome",Blog do Torcedor,03/07/2024,970 x 250,2365,0,"46,71 ","28,026","R$19,75 ","72,18%"
"( Venda Direta SJCC) Ministério do Desenvolvimento e Assistência Social, Família e Combate e Fome",Blog do Torcedor,04/07/2024,970 x 250,3088,0,"60,99 ","36,594","R$19,75 ","68,78%"
"( Venda Direta SJCC) Ministério do Desenvolvimento e Assistência Social, Família e Combate e Fome",Blog do Torcedor,05/07/2024,970 x 250,5213,0,"102,96 ","61,776","R$19,75 ","65,93%"
"( Venda Direta SJCC) Ministério do Desenvolvimento e Assistência Social, Família e Combate e Fome",Blog do Torcedor,06/07/2024,970 x 250,6167,0,"121,80 ","73,08","R$19,75 ","61,39%"
"( Venda Direta SJCC) Ministério do Desenvolvimento e Assistência Social, Família e Combate e Fome",Blog do Torcedor,07/07/2024,970 x 250,1405,0,"27,75 ","16,65","R$19,75 ","67,26%"
"( Venda Direta SJCC) Ministério do Desenvolvimento e Assistência Social, Família e Combate e Fome",Blog do Torcedor,08/07/2024,970 x 250,2199,0,"43,43 ","26,058","R$19,75 ","66,67%"
"( Venda Direta SJCC) Ministério do Desenvolvimento e Assistência Social, Família e Combate e Fome",Blog do Torcedor,09/07/2024,970 x 250,4285,0,"84,63 ","50,778","R$19,75 ","68,87%"
"( Venda Direta SJCC) Ministério do Desenvolvimento e Assistência Social, Família e Combate e Fome",Blog do Torcedor,08/07/2024,970 x 250,3479,0,"68,71 ","41,226","R$19,75 ","93,76%"
"( Venda Direta SJCC) Ministério do Desenvolvimento e Assistência Social, Família e Combate e Fome",Blog do Torcedor,09/07/2024,970 x 250,5796,0,"114,47 ","68,682","R$19,75 ","94,82%"
"( Venda Direta SJCC) Ministério do Desenvolvimento e Assistência Social, Família e Combate e Fome",JC Online,02/07/2024,970 x 250,1,0,"0,02 ","0,012","R$19,75 ","100,00%"
"( Venda Direta SJCC) Ministério do Desenvolvimento e Assistência Social, Família e Combate e Fome",JC Online,09/07/2024,970 x 250,3,0,"0,06 ","0,036","R$19,75 ","66,67%"
"( Venda Direta SJCC) Ministério do Desenvolvimento e Assistência Social, Família e Combate e Fome",JC Online,08/07/2024,970 x 250,2,0,"0,04 ","0,024","R$19,75 ","50,00%"
"( Venda Direta SJCC) Ministério do Desenvolvimento e Assistência Social, Família e Combate e Fome",JC Online,09/07/2024,970 x 250,7,0,"0,14 ","0,084","R$19,75 ","85,71%"
"( Venda Direta SJCC) Ministério do Desenvolvimento e Assistência Social, Família e Combate e Fome",Portal NE10,03/07/2024,970 x 250,276,0,"5,45 ","3,27","R$19,75 ","61,59%"
"( Venda Direta SJCC) Ministério do Desenvolvimento e Assistência Social, Família e Combate e Fome",Portal NE10,04/07/2024,970 x 250,281,0,"5,55 ","3,33","R$19,75 ","66,90%"
"( Venda Direta SJCC) Ministério do Desenvolvimento e Assistência Social, Família e Combate e Fome",Portal NE10,05/07/2024,970 x 250,373,0,"7,37 ","4,422","R$19,75 ","70,78%"
"( Venda Direta SJCC) Ministério do Desenvolvimento e Assistência Social, Família e Combate e Fome",Portal NE10,06/07/2024,970 x 250,144,0,"2,84 ","1,704","R$19,75 ","63,89%"
"( Venda Direta SJCC) Ministério do Desenvolvimento e Assistência Social, Família e Combate e Fome",Portal NE10,07/07/2024,970 x 250,143,0,"2,82 ","1,692","R$19,75 ","62,94%"
"( Venda Direta SJCC) Ministério do Desenvolvimento e Assistência Social, Família e Combate e Fome",Portal NE10,08/07/2024,970 x 250,350,0,"6,91 ","4,146","R$19,75 ","66,57%"
