Advertiser,Ad unit,Date,Creative size,Advertiser ID,Ad unit ID,Total impressions,Total clicks,Total CPM and CPC revenue (R$),Total average eCPM (R$),Total Active View % viewable impressions
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,parceiros (10869286) » ne_10 (11238766) » interior (21737767482),10/2/2024,320 x 50,4597768744,",10869286,11238766,21737767482,",252,0,"R$0,00 ","R$0,00 ","25,00%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,parceiros (10869286) » ne_10 (11238766) » interior (21737767482),10/2/2024,728 x 90,4597768744,",10869286,11238766,21737767482,",47,0,"R$0,00 ","R$0,00 ","42,55%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,parceiros (10869286) » ne_10 (11238766) » interior (21737767482),10/2/2024,970 x 250,4597768744,",10869286,11238766,21737767482,",335,0,"R$0,00 ","R$0,00 ","57,01%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,parceiros (10869286) » ne_10 (11238766) » interior (21737767482),10/2/2024,970 x 90,4597768744,",10869286,11238766,21737767482,",44,0,"R$0,00 ","R$0,00 ","50,00%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,parceiros (10869286) » ne_10 (11238766) » interior (21737767482),10/2/2024,Native,4597768744,",10869286,11238766,21737767482,",272,0,"R$0,00 ","R$0,00 ","34,56%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,parceiros (10869286) » ne_10 (11238766) » interior (21737767482) » anchor (22834637125),10/1/2024,300 x 100,4597768744,",10869286,11238766,21737767482,22834637125,",40,0,"R$0,00 ","R$0,00 ","97,50%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,parceiros (10869286) » ne_10 (11238766) » interior (21737767482) » anchor (22834637125),10/1/2024,320 x 100,4597768744,",10869286,11238766,21737767482,22834637125,",381,0,"R$0,00 ","R$0,00 ","94,49%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,parceiros (10869286) » ne_10 (11238766) » interior (21737767482) » anchor (22834637125),10/1/2024,320 x 50,4597768744,",10869286,11238766,21737767482,22834637125,",182,1,"R$0,00 ","R$0,00 ","94,51%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,parceiros (10869286) » ne_10 (11238766) » interior (21737767482) » anchor (22834637125),10/1/2024,728 x 90,4597768744,",10869286,11238766,21737767482,22834637125,",109,0,"R$0,00 ","R$0,00 ","107,34%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,parceiros (10869286) » ne_10 (11238766) » interior (21737767482) » anchor (22834637125),10/1/2024,970 x 90,4597768744,",10869286,11238766,21737767482,22834637125,",70,0,"R$0,00 ","R$0,00 ","95,71%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,parceiros (10869286) » ne_10 (11238766) » interior (21737767482) » anchor (22834637125),10/1/2024,Native,4597768744,",10869286,11238766,21737767482,22834637125,",90,0,"R$0,00 ","R$0,00 ","91,11%"
