Anunciante,Bloco de anúncios,Data,Tamanho do criativo,Total de impressões,Total de cliques,Receita Bruta (R$),Receita Líquida,eCPM médio total (R$),Porcentagem do total de impressões visíveis do Active View
(Venda Direta SJCC) CLEVER GESTL LTDA,Social 1,02/05/2024,300 x 350,201551,0,"R$1007,76 ","604,656","R$5,00 ","4,08%"
(Venda Direta SJCC) CLEVER GESTL LTDA,Blog do Torcedor,01/05/2024,300 x 350,498,0,"R$2,49 ","1,494","R$5,00 ","5,42%"
(Venda Direta SJCC) CLEVER GESTL LTDA,Blog do Torcedor,02/05/2024,300 x 350,93,0,"R$0,47 ","0,282","R$5,00 ","1,08%"
(Venda Direta SJCC) CLEVER GESTL LTDA,Rádio Jornal,01/05/2024,300 x 250,4761,0,"R$0,00 ","0,0","R$0,00 ","71,58%"
(Venda Direta SJCC) CLEVER GESTL LTDA,Rádio Jornal,02/05/2024,300 x 250,5585,0,"R$0,00 ","0,0","R$0,00 ","69,83%"
(Venda Direta SJCC) GENERAL MOTORS,JC Online,02/05/2024,480 x 360v,170,0,"R$4,23 ","2,538","R$24,90 ","87,65%"
(Venda Direta SJCC) GENERAL MOTORS,Blog do Torcedor,02/05/2024,480 x 360v,537,0,"R$13,37 ","8,022","R$24,90 ","65,68%"
(Venda Direta SJCC) GENERAL MOTORS,Blog do Torcedor,02/05/2024,480 x 360v,393,5,"R$9,79 ","5,874","R$24,90 ","89,18%"
(Venda Direta SJCC) GENERAL MOTORS,JC Online,02/05/2024,480 x 360v,77,0,"R$1,92 ","1,152","R$24,90 ","93,51%"
(Venda Direta SJCC) GENERAL MOTORS,JC Online,02/05/2024,480 x 360v,63,0,"R$1,57 ","0,942","R$24,90 ","60,32%"
(Venda Direta SJCC) GENERAL MOTORS,TV Jornal,02/05/2024,480 x 360v,30,1,"R$0,75 ","0,45","R$24,90 ","43,33%"
(Venda Direta SJCC) GENERAL MOTORS,TV Jornal,02/05/2024,480 x 360v,3315,51,"R$82,54 ","49,524","R$24,90 ","87,83%"
(Venda Direta SJCC) GENERAL MOTORS,TV Jornal,02/05/2024,480 x 360v,1,0,"R$0,02 ","0,012","R$24,90 ","100,00%"
(Venda Direta SJCC) PERDIGÃO,Portal NE10,01/05/2024,300 x 250,23,0,"R$0,00 ","0,0","R$0,00 ","39,13%"
(Venda Direta SJCC) PERDIGÃO,Portal NE10,01/05/2024,320 x 50,89,0,"R$0,00 ","0,0","R$0,00 ","74,16%"
(Venda Direta SJCC) PERDIGÃO,Portal NE10,02/05/2024,300 x 250,44,0,"R$0,00 ","0,0","R$0,00 ","52,27%"
(Venda Direta SJCC) PERDIGÃO,Portal NE10,02/05/2024,320 x 50,128,0,"R$0,00 ","0,0","R$0,00 ","64,84%"
(Venda Direta SJCC) PERDIGÃO,Portal NE10,02/05/2024,728 x 90,2,0,"R$0,00 ","0,0","R$0,00 ","0,00%"
(Venda Direta SJCC) PERDIGÃO,Portal NE10,02/05/2024,970 x 250,1,0,"R$0,00 ","0,0","R$0,00 ","0,00%"
(Venda Direta SJCC) PERDIGÃO,Portal NE10,01/05/2024,320 x 50,168,0,"R$0,00 ","0,0","R$0,00 ","92,86%"
(Venda Direta SJCC) PERDIGÃO,Portal NE10,01/05/2024,728 x 90,87,0,"R$0,00 ","0,0","R$0,00 ","78,16%"
(Venda Direta SJCC) PERDIGÃO,Portal NE10,02/05/2024,320 x 50,84,0,"R$0,00 ","0,0","R$0,00 ","95,24%"
