Anunciante,Bloco de anúncios,Data,Tamanho do criativo,ID do anunciante,ID do bloco de anúncios,Total de impressões,Total de cliques,Receita total de CPM e de CPC (R$),eCPM médio total (R$),Porcentagem do total de impressões visíveis do Active View
(Venda Direta SJCC) PERDIGÃO,parceiros (10869286) » ne_10 (11238766) » noticias (21722702436),5/1/2024,320 x 50,5465213743,",10869286,11238766,21722702436,",14,0,"R$0,00 ","R$0,00 ","92,86%"
(Venda Direta SJCC) PERDIGÃO,parceiros (10869286) » ne_10 (11238766) » noticias (21722702436),5/1/2024,970 x 250,5465213743,",10869286,11238766,21722702436,",2,0,"R$0,00 ","R$0,00 ","50,00%"
(Venda Direta SJCC) PERDIGÃO,parceiros (10869286) » ne_10 (11238766) » noticias (21722702436) » anchor (22835337900),5/1/2024,320 x 50,5465213743,",10869286,11238766,21722702436,22835337900,",2,0,"R$0,00 ","R$0,00 ","100,00%"
(Venda Direta SJCC) PERDIGÃO,parceiros (10869286) » ne_10 (11238766) » noticias (21722702436) » anchor (22835337900),5/1/2024,728 x 90,5465213743,",10869286,11238766,21722702436,22835337900,",24,0,"R$0,00 ","R$0,00 ","83,33%"
(Venda Direta SJCC) PERDIGÃO,parceiros (10869286) » ne_10 (11238766) » radio_jornal (21719551231),5/1/2024,300 x 250,5465213743,",10869286,11238766,21719551231,",77,0,"R$0,00 ","R$0,00 ","45,45%"
(Venda Direta SJCC) PERDIGÃO,parceiros (10869286) » ne_10 (11238766) » radio_jornal (21719551231),5/1/2024,300 x 600,5465213743,",10869286,11238766,21719551231,",195,0,"R$0,00 ","R$0,00 ","99,49%"
(Venda Direta SJCC) PERDIGÃO,parceiros (10869286) » ne_10 (11238766) » radio_jornal (21719551231),5/1/2024,320 x 50,5465213743,",10869286,11238766,21719551231,",44,0,"R$0,00 ","R$0,00 ","81,82%"
(Venda Direta SJCC) PERDIGÃO,parceiros (10869286) » ne_10 (11238766) » radio_jornal (21719551231),5/1/2024,728 x 90,5465213743,",10869286,11238766,21719551231,",575,0,"R$0,00 ","R$0,00 ","96,87%"
(Venda Direta SJCC) PERDIGÃO,parceiros (10869286) » ne_10 (11238766) » radio_jornal (21719551231),5/1/2024,970 x 250,5465213743,",10869286,11238766,21719551231,",1,0,"R$0,00 ","R$0,00 ","100,00%"
(Venda Direta SJCC) PERDIGÃO,parceiros (10869286) » ne_10 (11238766) » radio_jornal (21719551231) » anchor (22834993604),5/1/2024,320 x 50,5465213743,",10869286,11238766,21719551231,22834993604,",55,0,"R$0,00 ","R$0,00 ","92,73%"
(Venda Direta SJCC) PERDIGÃO,parceiros (10869286) » ne_10 (11238766) » radio_jornal (21719551231) » anchor (22834993604),5/1/2024,728 x 90,5465213743,",10869286,11238766,21719551231,22834993604,",20,0,"R$0,00 ","R$0,00 ","85,00%"
(Venda Direta SJCC) PERDIGÃO,parceiros (10869286) » ne_10 (11238766) » radio_jornal (21719551231) » app (23085685547),5/1/2024,300 x 250,5465213743,",10869286,11238766,21719551231,23085685547,",6237,0,"R$0,00 ","R$0,00 ","70,73%"
(Venda Direta SJCC) PERDIGÃO,parceiros (10869286) » ne_10 (11238766) » radio_jornal (21719551231) » app (23085685547),5/1/2024,320 x 50,5465213743,",10869286,11238766,21719551231,23085685547,",70,0,"R$0,00 ","R$0,00 ","90,00%"
(Venda Direta SJCC) PERDIGÃO,parceiros (10869286) » ne_10 (11238766) » radio_jornal (21719551231) » in-article (21814456428) » outstream (22691595906),5/1/2024,300 x 250,5465213743,",10869286,11238766,21719551231,21814456428,22691595906,",6,0,"R$0,00 ","R$0,00 ","50,00%"
(Venda Direta SJCC) PERDIGÃO,parceiros (10869286) » ne_10 (11238766) » tv_jornal (17743246),5/1/2024,300 x 250,5465213743,",10869286,11238766,17743246,",19,0,"R$0,00 ","R$0,00 ","84,21%"
(Venda Direta SJCC) PERDIGÃO,parceiros (10869286) » ne_10 (11238766) » tv_jornal (17743246),5/1/2024,320 x 50,5465213743,",10869286,11238766,17743246,",13,0,"R$0,00 ","R$0,00 ","69,23%"
(Venda Direta SJCC) PERDIGÃO,parceiros (10869286) » ne_10 (11238766) » tv_jornal (17743246),5/1/2024,728 x 90,5465213743,",10869286,11238766,17743246,",1,0,"R$0,00 ","R$0,00 ","100,00%"
(Venda Direta SJCC) PERDIGÃO,parceiros (10869286) » ne_10 (11238766) » tv_jornal (17743246) » anchor (22834637230),5/1/2024,320 x 50,5465213743,",10869286,11238766,17743246,22834637230,",3917,0,"R$0,00 ","R$0,00 ","95,28%"
(Venda Direta SJCC) PERDIGÃO,parceiros (10869286) » ne_10 (11238766) » tv_jornal (17743246) » anchor (22834637230),5/1/2024,728 x 90,5465213743,",10869286,11238766,17743246,22834637230,",78,0,"R$0,00 ","R$0,00 ","91,03%"
(Venda Direta SJCC) PERDIGÃO,parceiros (10869286) » ne_10 (11238766) » tv_jornal (17743246) » in-article (21814237394) » outstream (22691595504),5/1/2024,300 x 250,5465213743,",10869286,11238766,17743246,21814237394,22691595504,",1,0,"R$0,00 ","R$0,00 ","100,00%"
(Venda Direta SJCC) PREFEITURA DE CARUARU,parceiros (10869286) » ne_10 (11238766) » jornal_do_commercio (21268726) » blog (21725415585) » jamildo (22475149105),5/1/2024,970 x 250,4742557345,",10869286,11238766,21268726,21725415585,22475149105,",2454,2,"R$81,79 ","R$33,33 ","75,43%"
(Venda Direta SJCC) PREFEITURA DE IPOJUCA,parceiros (10869286) » ne_10 (11238766) » jornal_do_commercio (21268726) » colunas (22678504715) » jamildo (22678108642),5/1/2024,320 x 50,4595185176,",10869286,11238766,21268726,22678504715,22678108642,",3254,10,"R$108,46 ","R$33,33 ","98,46%"
(Venda Direta SJCC) PREFEITURA DE IPOJUCA,parceiros (10869286) » ne_10 (11238766) » jornal_do_commercio (21268726) » blog (21725415585) » jamildo (22475149105),5/1/2024,320 x 50,4595185176,",10869286,11238766,21268726,21725415585,22475149105,",53,0,"R$1,77 ","R$33,33 ","77,36%"
(Venda Direta SJCC) PREFEITURA DE IPOJUCA,parceiros (10869286) » ne_10 (11238766) » jornal_do_commercio (21268726) » blog (21725415585) » jamildo (22475149105) » anchor (22835571571),5/1/2024,320 x 50,4595185176,",10869286,11238766,21268726,21725415585,22475149105,22835571571,",1424,6,"R$47,46 ","R$33,33 ","97,19%"
(Venda Direta SJCC) SICREDI,parceiros (10869286) » ne_10 (11238766) » jornal_do_commercio (21268726),5/1/2024,300 x 250,5085284317,",10869286,11238766,21268726,",1940,2,"R$12,94 ","R$6,67 ","64,28%"
(Venda Direta SJCC) SICREDI,parceiros (10869286) » ne_10 (11238766) » jornal_do_commercio (21268726),5/1/2024,300 x 600,5085284317,",10869286,11238766,21268726,",22,0,"R$0,15 ","R$6,67 ","31,82%"
(Venda Direta SJCC) SICREDI,parceiros (10869286) » ne_10 (11238766) » jornal_do_commercio (21268726),5/1/2024,320 x 50,5085284317,",10869286,11238766,21268726,",2551,3,"R$17,02 ","R$6,67 ","88,38%"
