Anunciante,Bloco de anúncios,Data,Mês,Tamanho do criativo,Total de impressões,Total de cliques,Receita Bruta (R$),Receita Líquida,eCPM médio total (R$),Porcentagem do total de impressões visíveis do Active View
(Venda Direta SJCC) PERDIGÃO,Portal NE10,17/04/2024,4,320 x 50,11,0,"R$0,00 ","0,0","R$0,00 ","45,45%"
(Venda Direta SJCC) PERDIGÃO,Portal NE10,17/04/2024,4,320 x 50,3,0,"R$0,00 ","0,0","R$0,00 ","66,67%"
(Venda Direta SJCC) PERDIGÃO,Portal NE10,17/04/2024,4,728 x 90,41,0,"R$0,00 ","0,0","R$0,00 ","107,32%"
(Venda Direta SJCC) PERDIGÃO,Rádio Jornal,17/04/2024,4,300 x 250,179,0,"R$0,00 ","0,0","R$0,00 ","54,19%"
(Venda Direta SJCC) PERDIGÃO,Rádio Jornal,17/04/2024,4,300 x 600,194,0,"R$0,00 ","0,0","R$0,00 ","101,55%"
(Venda Direta SJCC) PERDIGÃO,Rádio Jornal,17/04/2024,4,320 x 50,217,0,"R$0,00 ","0,0","R$0,00 ","91,71%"
(Venda Direta SJCC) PERDIGÃO,Rádio Jornal,17/04/2024,4,320 x 50,238,0,"R$0,00 ","0,0","R$0,00 ","97,90%"
(Venda Direta SJCC) PERDIGÃO,Rádio Jornal,17/04/2024,4,728 x 90,1788,0,"R$0,00 ","0,0","R$0,00 ","99,66%"
(Venda Direta SJCC) PERDIGÃO,parceiros (10869286) » ne_10 (11238766) » radio_jornal (21719551231) » app (23085685547),17/04/2024,4,300 x 250,4774,0,"R$0,00 ","0,0","R$0,00 ","64,15%"
(Venda Direta SJCC) PERDIGÃO,parceiros (10869286) » ne_10 (11238766) » radio_jornal (21719551231) » app (23085685547),17/04/2024,4,320 x 50,49,0,"R$0,00 ","0,0","R$0,00 ","68,75%"
(Venda Direta SJCC) PERDIGÃO,Rádio Jornal,17/04/2024,4,300 x 250,13,0,"R$0,00 ","0,0","R$0,00 ","92,31%"
(Venda Direta SJCC) PERDIGÃO,TV Jornal,17/04/2024,4,300 x 250,1793,0,"R$0,00 ","0,0","R$0,00 ","64,75%"
(Venda Direta SJCC) PERDIGÃO,TV Jornal,17/04/2024,4,300 x 600,38,0,"R$0,00 ","0,0","R$0,00 ","42,11%"
(Venda Direta SJCC) PERDIGÃO,TV Jornal,17/04/2024,4,320 x 50,531,0,"R$0,00 ","0,0","R$0,00 ","79,47%"
