Anunciante,Bloco de anúncios,Data,Tamanho do criativo,Total de impressões,Total de cliques,Receita Bruta (R$),Receita Líquida,eCPM,eCPM médio total (R$),Porcentagem do total de impressões visíveis do Active View
AppNexus,Social 1,21/02/2024,1 x 1,19565,0,"R$44,21 ","26,526",,"R$2,26 ","57,47%"
AppNexus,Social 1,21/02/2024,Nativo,23,0,"R$0,03 ","0,018",,"R$1,50 ","47,83%"
AppNexus,Social 1,21/02/2024,1 x 1,2941,0,"R$5,31 ","3,186",,"R$1,81 ","81,33%"
AppNexus,Social 1,21/02/2024,480 x 360v,5841,38,"R$10,71 ","6,426",,"R$1,88 ","86,08%"
AppNexus,Blog do Torcedor,21/02/2024,1 x 1,1851,0,"R$3,31 ","1,986",,"R$1,79 ","71,39%"
AppNexus,Blog do Torcedor,21/02/2024,Nativo,3,0,"R$0,00 ","0,0",,"R$0,88 ","0,00%"
AppNexus,Blog do Torcedor,21/02/2024,1 x 1,1149,0,"R$1,46 ","0,876",,"R$1,27 ","85,29%"
AppNexus,Blog do Torcedor,21/02/2024,480 x 360v,694,2,"R$0,91 ","0,546",,"R$1,36 ","82,44%"
AppNexus,JC Online,21/02/2024,480 x 360v,4,0,"R$0,00 ","0,0",,"R$0,89 ","50,00%"
AppNexus,JC Online,21/02/2024,480 x 360v,3518,11,"R$3,67 ","2,202",,"R$1,08 ","85,06%"
AppNexus,JC Online,21/02/2024,1 x 1,424,0,"R$0,64 ","0,384",,"R$1,51 ","57,55%"
AppNexus,JC HTML,21/02/2024,1 x 1,15,0,"R$0,03 ","0,018",,"R$2,06 ","60,00%"
AppNexus,Portal NE10,21/02/2024,1 x 1,96,0,"R$0,19 ","0,114",,"R$2,01 ","50,00%"
AppNexus,Portal NE10,21/02/2024,Nativo,16,0,"R$0,02 ","0,012",,"R$1,32 ","31,25%"
AppNexus,Portal NE10,21/02/2024,1 x 1,262,0,"R$0,29 ","0,174",,"R$1,10 ","90,46%"
AppNexus,Portal NE10,21/02/2024,480 x 360v,80,0,"R$0,07 ","0,042",,"R$0,82 ","91,25%"
AppNexus,Portal NE10,21/02/2024,1 x 1,3,0,"R$0,00 ","0,0",,"R$1,65 ","0,00%"
AppNexus,Rádio Jornal,21/02/2024,1 x 1,252,0,"R$0,60 ","0,36",,"R$2,40 ","52,78%"
AppNexus,Rádio Jornal,21/02/2024,Nativo,21,0,"R$0,04 ","0,024",,"R$1,80 ","38,10%"
AppNexus,Rádio Jornal,21/02/2024,1 x 1,272,0,"R$0,39 ","0,234",,"R$1,44 ","80,15%"
AppNexus,Rádio Jornal,21/02/2024,1 x 1,6,0,"R$0,00 ","0,0",,"R$0,36 ","100,00%"
AppNexus,Rádio Jornal,21/02/2024,1 x 1,64,0,"R$0,03 ","0,018",,"R$0,45 ","93,75%"
AppNexus,Rádio Jornal,21/02/2024,480 x 360v,29,0,"R$0,04 ","0,024",,"R$1,46 ","92,86%"
AppNexus,Rádio Jornal,21/02/2024,1 x 1,3,0,"R$0,00 ","0,0",,"R$0,39 ","33,33%"
AppNexus,TV Jornal,21/02/2024,1 x 1,310,0,"R$0,65 ","0,39",,"R$2,11 ","54,52%"
AppNexus,TV Jornal,21/02/2024,1 x 1,933,0,"R$1,40 ","0,84",,"R$1,50 ","77,49%"
AppNexus,TV Jornal,21/02/2024,1 x 1,147,0,"R$0,23 ","0,138",,"R$1,59 ","55,10%"
AppNexus,TV Jornal,21/02/2024,480 x 360v,307,5,"R$0,45 ","0,27",,"R$1,53 ","78,55%"
AppNexus,Interior,21/02/2024,1 x 1,15,0,"R$0,03 ","0,018",,"R$2,25 ","53,33%"
BANCO SAFRA S A / 0001-28,Portal NE10,21/02/2024,300 x 250,4,0,"R$0,02 ","0,012",,"R$5,02 ","50,00%"
BANCO SAFRA S A / 0001-28,Portal NE10,21/02/2024,300 x 600,13,0,"R$0,07 ","0,042",,"R$5,02 ","15,38%"
BANCO SAFRA S A / 0001-28,Interior,21/02/2024,300 x 600,6,0,"R$0,03 ","0,018",,"R$5,02 ","100,00%"
BANCO SAFRA S A / 0001-28,JC Online,21/02/2024,300 x 250,2,0,"R$0,01 ","0,006",,"R$5,02 ","100,00%"
BANCO SAFRA S A / 0001-28,JC Online,21/02/2024,300 x 600,155,0,"R$0,78 ","0,468",,"R$5,02 ","78,06%"
BANCO SAFRA S A / 0001-28,Jamildo,21/02/2024,300 x 600,41,0,"R$0,21 ","0,126",,"R$5,02 ","73,17%"
