Anunciante,Bloco de anúncios,Data,Tamanho do criativo,ID do anunciante,ID do bloco de anúncios,Total de impressões,Total de cliques,Receita total de CPM e de CPC (R$),eCPM médio total (R$),Porcentagem do total de impressões visíveis do Active View
(VENDAS DIRETAS SJCC)  PITU,parceiros (10869286) » ne_10 (11238766) » radio_jornal (21719551231) » aovivo (21798635724),7/2/2024,1 x 1,5628453248,",10869286,11238766,21719551231,21798635724,",9,0,"R$0,08 ","R$8,70 ","100,00%"
(VENDAS DIRETAS SJCC)  PITU,parceiros (10869286) » ne_10 (11238766) » radio_jornal (21719551231) » aovivo (21798635724),7/2/2024,320 x 50,5628453248,",10869286,11238766,21719551231,21798635724,",6879,4,"R$59,85 ","R$8,70 ","99,67%"
(VENDAS DIRETAS SJCC)  PITU,parceiros (10869286) » ne_10 (11238766) » radio_jornal (21719551231) » aovivo (21798635724) » anchor (22835868507),7/1/2024,728 x 90,5628453248,",10869286,11238766,21719551231,21798635724,22835868507,",2,0,"R$0,02 ","R$8,70 ","100,00%"
(VENDAS DIRETAS SJCC)  PITU,parceiros (10869286) » ne_10 (11238766) » radio_jornal (21719551231) » aovivo (21798635724) » anchor (22835868507),7/2/2024,320 x 50,5628453248,",10869286,11238766,21719551231,21798635724,22835868507,",1,0,"R$0,01 ","R$8,70 ","100,00%"
(VENDAS DIRETAS SJCC)  PITU,parceiros (10869286) » ne_10 (11238766) » radio_jornal (21719551231) » app (23085685547),7/1/2024,300 x 250,5628453248,",10869286,11238766,21719551231,23085685547,",4223,5,"R$36,74 ","R$8,70 ","69,10%"
(VENDAS DIRETAS SJCC)  PITU,parceiros (10869286) » ne_10 (11238766) » radio_jornal (21719551231) » app (23085685547),7/1/2024,320 x 50,5628453248,",10869286,11238766,21719551231,23085685547,",11,0,"R$0,10 ","R$8,70 ","90,91%"
(VENDAS DIRETAS SJCC)  PITU,parceiros (10869286) » ne_10 (11238766) » radio_jornal (21719551231) » app (23085685547),7/2/2024,300 x 250,5628453248,",10869286,11238766,21719551231,23085685547,",363,0,"R$3,16 ","R$8,70 ","79,06%"
(VENDAS DIRETAS SJCC)  PITU,parceiros (10869286) » ne_10 (11238766) » radio_jornal (21719551231) » app (23085685547),7/2/2024,320 x 50,5628453248,",10869286,11238766,21719551231,23085685547,",24,0,"R$0,21 ","R$8,70 ","79,17%"
(VENDAS DIRETAS SJCC)  PITU,parceiros (10869286) » ne_10 (11238766) » radio_jornal (21719551231) » in-article (21814456428) » outstream (22691595906),7/1/2024,300 x 250,5628453248,",10869286,11238766,21719551231,21814456428,22691595906,",1,0,"R$0,01 ","R$8,70 ","0,00%"
(VENDAS DIRETAS SJCC)  PITU,parceiros (10869286) » ne_10 (11238766) » radio_jornal (21719551231) » in-article (21814456428) » outstream (22691595906),7/2/2024,300 x 250,5628453248,",10869286,11238766,21719551231,21814456428,22691595906,",2,0,"R$0,02 ","R$8,70 ","100,00%"
(VENDAS DIRETAS SJCC)  PITU,parceiros (10869286) » ne_10 (11238766) » radio_jornal (21719551231) » story (22871014861),7/1/2024,320 x 50,5628453248,",10869286,11238766,21719551231,22871014861,",1,0,"R$0,01 ","R$8,70 ","100,00%"
(Venda Direta SJCC) - SICREDI,parceiros (10869286) » ne_10 (11238766),7/1/2024,320 x 50,4606036202,",10869286,11238766,",11,0,"R$0,07 ","R$6,67 ","81,82%"
(Venda Direta SJCC) - SICREDI,parceiros (10869286) » ne_10 (11238766),7/1/2024,970 x 250,4606036202,",10869286,11238766,",2,0,"R$0,01 ","R$6,67 ","50,00%"
(Venda Direta SJCC) - SICREDI,parceiros (10869286) » ne_10 (11238766) » anchor (22834406532),7/1/2024,320 x 50,4606036202,",10869286,11238766,22834406532,",1,0,"R$0,01 ","R$6,67 ","100,00%"
(Venda Direta SJCC) - SICREDI,parceiros (10869286) » ne_10 (11238766) » home (21723566961),7/1/2024,300 x 250,4606036202,",10869286,11238766,21723566961,",28,0,"R$0,19 ","R$6,67 ","64,29%"
(Venda Direta SJCC) - SICREDI,parceiros (10869286) » ne_10 (11238766) » home (21723566961),7/1/2024,320 x 50,4606036202,",10869286,11238766,21723566961,",93,0,"R$0,62 ","R$6,67 ","84,95%"
(Venda Direta SJCC) - SICREDI,parceiros (10869286) » ne_10 (11238766) » home (21723566961) » anchor (22835570053),7/1/2024,320 x 50,4606036202,",10869286,11238766,21723566961,22835570053,",29,0,"R$0,19 ","R$6,67 ","93,10%"
(Venda Direta SJCC) - SICREDI,parceiros (10869286) » ne_10 (11238766) » home (21723566961) » in-article (21814819361) » outstream (22691595912),7/1/2024,300 x 250,4606036202,",10869286,11238766,21723566961,21814819361,22691595912,",6,0,"R$0,04 ","R$6,67 ","66,67%"
(Venda Direta SJCC) - SICREDI,parceiros (10869286) » ne_10 (11238766) » interior (21737767482),7/1/2024,300 x 250,4606036202,",10869286,11238766,21737767482,",216,0,"R$1,44 ","R$6,67 ","53,24%"
(Venda Direta SJCC) - SICREDI,parceiros (10869286) » ne_10 (11238766) » interior (21737767482),7/1/2024,320 x 50,4606036202,",10869286,11238766,21737767482,",69,0,"R$0,46 ","R$6,67 ","84,06%"
(Venda Direta SJCC) - SICREDI,parceiros (10869286) » ne_10 (11238766) » interior (21737767482) » anchor (22834637125),7/1/2024,320 x 50,4606036202,",10869286,11238766,21737767482,22834637125,",888,0,"R$5,92 ","R$6,67 ","97,52%"
(Venda Direta SJCC) - SICREDI,parceiros (10869286) » ne_10 (11238766) » interior (21737767482) » in-article (21823750911) » outstream (22691595915),7/1/2024,300 x 250,4606036202,",10869286,11238766,21737767482,21823750911,22691595915,",37,0,"R$0,25 ","R$6,67 ","72,97%"
(Venda Direta SJCC) - SICREDI,parceiros (10869286) » ne_10 (11238766) » jornal_do_commercio (21268726),7/1/2024,300 x 250,4606036202,",10869286,11238766,21268726,",85,0,"R$0,57 ","R$6,67 ","59,52%"
(Venda Direta SJCC) - SICREDI,parceiros (10869286) » ne_10 (11238766) » jornal_do_commercio (21268726),7/1/2024,300 x 600,4606036202,",10869286,11238766,21268726,",13,0,"R$0,09 ","R$6,67 ","84,62%"
(Venda Direta SJCC) - SICREDI,parceiros (10869286) » ne_10 (11238766) » jornal_do_commercio (21268726),7/1/2024,320 x 50,4606036202,",10869286,11238766,21268726,",474,0,"R$3,16 ","R$6,67 ","95,36%"
