Anunciante,Bloco de anúncios,Data,Tamanho do criativo,Total de impressões,Total de cliques,Receita Bruta (R$),Receita Líquida,eCPM
Áudio (0x0),Interior,07/01/2024,0 x 0,239,0,"R$0,23 ","0,138","0,9623"
Áudio (0x0),Interior,08/01/2024,0 x 0,630,1,"R$0,45 ","0,27","0,7143"
Áudio (0x0),Interior,09/01/2024,0 x 0,559,2,"R$0,51 ","0,306","0,9123"
Áudio (0x0),Interior,10/01/2024,0 x 0,544,0,"R$0,51 ","0,306","0,9375"
Áudio (0x0),Interior,11/01/2024,0 x 0,1358,1,"R$0,88 ","0,528","0,648"
Áudio (0x0),Interior,12/01/2024,0 x 0,1053,3,"R$1,12 ","0,672","1,0636"
Áudio (0x0),Interior,13/01/2024,0 x 0,319,0,"R$0,43 ","0,258","1,348"
Áudio (0x0),Interior,14/01/2024,0 x 0,310,0,"R$0,48 ","0,288","1,5484"
Áudio (0x0),Interior,15/01/2024,0 x 0,104,0,"R$0,84 ","0,504","8,0769"
Áudio (0x0),Interior,16/01/2024,0 x 0,109,0,"R$0,72 ","0,432","6,6055"
Áudio (0x0),Interior,17/01/2024,0 x 0,112,0,"R$0,63 ","0,378","5,625"
Áudio (0x0),Interior,01/01/2024,0 x 0,109,0,"R$0,06 ","0,036","0,5505"
Áudio (0x0),Interior,02/01/2024,0 x 0,87,0,"R$0,07 ","0,042","0,8046"
Áudio (0x0),Interior,03/01/2024,0 x 0,78,1,"R$0,06 ","0,036","0,7692"
Áudio (0x0),Interior,04/01/2024,0 x 0,118,1,"R$0,11 ","0,066","0,9322"
Áudio (0x0),Interior,05/01/2024,0 x 0,152,0,"R$0,13 ","0,078","0,8553"
Áudio (0x0),Interior,06/01/2024,0 x 0,388,5,"R$0,37 ","0,222","0,9536"
Áudio (0x0),Interior,07/01/2024,0 x 0,42,0,"R$0,06 ","0,036","1,4286"
Áudio (0x0),Interior,08/01/2024,0 x 0,113,1,"R$0,11 ","0,066","0,9735"
Áudio (0x0),Interior,09/01/2024,0 x 0,165,1,"R$0,15 ","0,09","0,9091"
Áudio (0x0),Interior,10/01/2024,0 x 0,207,0,"R$0,19 ","0,114","0,9179"
Áudio (0x0),Interior,11/01/2024,0 x 0,521,6,"R$0,43 ","0,258","0,8253"
Áudio (0x0),Interior,12/01/2024,0 x 0,102,1,"R$0,10 ","0,06","0,9804"
Áudio (0x0),Interior,13/01/2024,0 x 0,109,0,"R$0,09 ","0,054","0,8257"
Áudio (0x0),Interior,14/01/2024,0 x 0,3,0,"R$0,01 ","0,006","3,3333"
Áudio (0x0),Interior,15/01/2024,0 x 0,103,0,"R$0,09 ","0,054","0,8738"
Áudio (0x0),Interior,16/01/2024,0 x 0,186,1,"R$0,18 ","0,108","0,9677"
Áudio (0x0),Interior,17/01/2024,0 x 0,4,0,"R$0,00 ","0,0","0,0"
Áudio (0x0),Interior,01/01/2024,0 x 0,12,0,"R$0,01 ","0,006","0,8333"
Áudio (0x0),Interior,02/01/2024,0 x 0,23,0,"R$0,02 ","0,012","0,8696"
Áudio (0x0),Interior,03/01/2024,0 x 0,9,0,"R$0,01 ","0,006","1,1111"
Áudio (0x0),Interior,04/01/2024,0 x 0,5,0,"R$0,00 ","0,0","0,0"
Áudio (0x0),Interior,05/01/2024,0 x 0,5,0,"R$0,00 ","0,0","0,0"
Áudio (0x0),Interior,06/01/2024,0 x 0,27,0,"R$0,05 ","0,03","1,8519"
Áudio (0x0),Interior,07/01/2024,0 x 0,2,0,"R$0,00 ","0,0","0,0"
Áudio (0x0),Interior,08/01/2024,0 x 0,4,0,"R$0,00 ","0,0","0,0"
Áudio (0x0),Interior,09/01/2024,0 x 0,4,0,"R$0,01 ","0,006","2,5"
Áudio (0x0),Interior,10/01/2024,0 x 0,1,0,"R$0,00 ","0,0","0,0"
Áudio (0x0),Interior,11/01/2024,0 x 0,2,0,"R$0,00 ","0,0","0,0"
Áudio (0x0),Interior,14/01/2024,0 x 0,1,0,"R$0,00 ","0,0","0,0"
Áudio (0x0),Interior,15/01/2024,0 x 0,1,0,"R$0,02 ","0,012","20,0"
Áudio (0x0),Interior,16/01/2024,0 x 0,1,0,"R$0,00 ","0,0","0,0"
